TransactionID,CustomerName,Email,PhoneNumber,Location,Country,AccountNumber,TransactionType,TransactionAmount,TransactionDate,CreditCardNumber,Currency,Merchant
VQO02ODO,Emily Davis,emily.davis@example.com.au,+61 400 123 456,Smithberg,USA,8709095395,Credit,2460.48,24-02-2025,2090 6915 6209 2235,USD,Apple Store
6FCBXMTH,John Doe,johndoe@example.com,+1 202-555-0123,New Judy,USA,9125337700,Debit,3066.79,11-03-2025,5466 4340 8349 3152,USD,Starbucks
PAZ4WBYN,Alice Smith,alice.smith@example.co.uk,+44 7700 900123,Port Matthewview,USA,7756190645,Credit,1654.74,01-02-2025,7422 4293 5259 6065,USD,Walmart
ATSP5MLL,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,South Kevin,USA,6595204982,Debit,1556.45,06-02-2025,2997 4271 9099 8512,USD,Costco
KUGJT8IO,Emily Davis,emily.davis@example.com.au,+61 400 123 456,South Johnfurt,USA,1822738242,Credit,2627.26,24-01-2025,1942 1850 5126 1322,USD,Apple Store
B0S8TUFA,Emily Davis,emily.davis@example.com.au,+61 400 123 456,Johntown,USA,2649158127,Debit,1231.05,29-01-2025,3024 5301 4367 2605,usd,Netflix
2UB7INGO,Robert Brown,robert.brown@example.fr,+33 6 12 34 56 78,Pattersonshire,USA,2520312626,Debit,1556.1,17-02-2025,3367 8956 3280 3932,usd,Uber
Y7X12DYK,Robert Brown,robert.brown@example.fr,+33 6 12 34 56 78,North Andreaside,USA,8483503554,Debit,3577.22,20-01-2025,4282 7745 4129 6328,usd,Apple Store
UCZ4WSY6,Emily Davis,emily.davis@example.com.au,+61 400 123 456,South Elizabethbury,USA,1200649401,Credit,4163.09,25-02-2025,7883 2937 6527 3115,usd,Amazon
WAYU2F70,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,Brianborough,USA,8875480246,Debit,2467.45,01-02-2025,4364 2859 5485 0431,usd,Apple Store
KOTAT6DC,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,  Jessicahaven,USA,2025505017,Credit,1709.91,21-01-2025,7117 3072 3493 8987,usd,Amazon
WOHKEIDS,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,Johnsonmouth,USA,1305629294,Debit,1202.46,22-01-2025,4465 9361 0240 7857,usd,Netflix
XQS69XXI,Alice Smith,alice.smith@example.co.uk,+44 7700 900123,Hughesport,USA,7434373465,Debit,4537.38,07-03-2025,5800 7124 2263 1143,usd,Walmart
EI4Q948Y,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,South Emilyshire,USA,3123838686,Credit,4396.78,10-02-2025,5306 3318 5102 1676,USD,Costco
KI8N8BIT,Robert Brown,robert.brown@example.fr,+33 6 12 34 56 78,Birdtown,USA,9391782853,Debit,2567.82,03-03-2025,1337 9917 4016 8429,USD,Amazon
JU3RVWKW,Emily Davis,emily.davis@example.com.au,+61 400 123 456,Alexandertown,USA,6981479279,Credit,3531.07,29-01-2025,8870 7194 5039 8542,USD,Uber
9BFAL2A1,Alice Smith,alice.smith@example.co.uk,+44 7700 900123,Newmanport,USA,9231383181,Credit,3857.12,18-02-2025,1810 0456 3103 4043,USD,Netflix
883U9AUR,Emily Davis,emily.davis@example.com.au,+61 400 123 456,  Richardfort,USA,3868111117,Debit,33.3,23-01-2025,5429 2130 5447 7209,USD,Apple Store
DV2KH7DJ,Emily Davis,emily.davis@example.com.au,+61 400 123 456,West Evanside,USA,9923985509,Debit,630.99,28-01-2025,2255 3453 2234 1247,USD,Uber
TP4ITXVB,Robert Brown,robert.brown@example.fr,+33 6 12 34 56 78,Port Patrick,USA,1788720170,Debit,3315.46,22-02-2025,9596 0998 4786 1387,USD,Walmart
1EBMJKNJ,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,  Turnerborough,USA,3587376356,Debit,1179.4,12-03-2025,0848 8470 4445 6664,USD,Best Buy
93HOSV20,Emily Davis,emily.davis@example.com.au,+61 400 123 456,Lake Andre,USA,5009019514,Debit,4550.29,28-01-2025,1534 9433 9020 1781,USD,Uber
S28J4PY0,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,North Ashleyborough,USA,1023304615,Debit,3922.33,06-03-2025,2903 6911 6188 4675,USD,Uber
3VXTEC5B,John Doe,johndoe@example.com,+1 202-555-0123,New Cynthia,USA,4323125876,Credit,1952.63,08-03-2025,4606 2873 7865 6716,USD,Netflix
3AYU3GMP,Emily Davis,emily.davis@example.com.au,+61 400 123 456,Gillfurt,USA,7822692412,Credit,2893.58,26-01-2025,3744 7743 1459 7330,USD,Walmart
5SZJC4UT,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,New Andrew,USA,3974506303,Debit,1038.75,25-02-2025,4792 3601 5651 4426,USD,Netflix
Y2TFVEUW,Alice Smith,alice.smith@example.co.uk,+44 7700 900123,Briantown,USA,2053296417,Credit,1353.43,13-03-2025,9374 3710 7747 1010,USD,Netflix
X4EVI4O0,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,Lake Michael,USA,1872725654,Debit,3062.07,13-02-2025,1142 9029 3989 3961,USD,Netflix
H13IKA9U,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,North Angela,USA,4195622052,Debit,3527.52,03-02-2025,4101 9039 0837 5785,USD,Costco
J4B6VRIS,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,West James,USA,6617794312,Debit,3744.21,27-01-2025,9142 7271 4482 6974,USD,Apple Store
KE3S8HVU,Robert Brown,robert.brown@example.fr,+33 6 12 34 56 78,Adamberg,USA,8136490638,Credit,3242.34,24-02-2025,9955 9848 1216 4792,USD,Best Buy
1J735345,Emily Davis,emily.davis@example.com.au,+61 400 123 456,New Zacharyfurt,USA,1877898687,Debit,4098.26,06-02-2025,7516 1815 5276 0203,USD,Apple Store
RWZ0CBXW,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,Caseyport,USA,7012643115,Debit,3710.56,02-03-2025,5963 6557 7215 2926,USD,Amazon
ILUCNDDY,Alice Smith,alice.smith@example.co.uk,+44 7700 900123,Kimview,USA,6504309438,Credit,3886.79,20-01-2025,9893 6763 4721 9661,USD,Netflix
T7XASSLL,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,West Sabrinashire,USA,1031593200,Debit,756.53,01-03-2025,4843 4191 6451 5830,USD,Walmart
DYC10CS5,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,Brittanyborough,USA,7602148118,Credit,3921.53,26-02-2025,0364 1275 7344 6989,USD,Costco
0AD0EQAA,Alice Smith,alice.smith@example.co.uk,+44 7700 900123,Keithfurt,USA,4451759281,Credit,2192.46,12-02-2025,8717 2059 5314 0278,USD,Starbucks
IBR9LH80,Alice Smith,alice.smith@example.co.uk,+44 7700 900123,West Chelsea,,1329940549,Credit,1741.46,01-03-2025,5376 1514 3041 6603,USD,Starbucks
GG1RZ7IE,Emily Davis,emily.davis@example.com.au,+61 400 123 456,Joannamouth,USA,7356967257,Credit,2308.78,06-03-2025,5776 4906 4874 6534,USD,Best Buy
B12ZOUY9,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,Courtneyborough,USA,3922957711,Debit,2532.48,09-02-2025,9091 9406 6136 1331,USD,Amazon
0JTJZAMA,John Doe,johndoe@example.com,+1 202-555-0123,West Lindseyborough,,1500232409,Debit,2709.08,07-02-2025,5152 6955 4376 0361,USD,Netflix
2JOUB3CS,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,  Mathewsshire,USA,1809395618,Debit,3571.73,13-02-2025,9270 7371 8042 6915,,Best Buy
0BZF1S2K,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,West Kara,USA,7574510630,Credit,4962.56,02-03-2025,3492 3350 1707 0678,USD,Best Buy
1TZ1NF5E,Robert Brown,robert.brown@example.fr,+33 6 12 34 56 78,West Taylor,USA,4302956789,Debit,-1952,04-03-2025,0808 8046 6648 0404,USD,Starbucks
